region_1,region_2,region_pair,causality_score,object,subject,date
PERI,TEa,PERI <> TEa,0.21924422339859842,1,459601,20240409
TEa,PERI,PERI <> TEa,0.19538291717395695,1,459601,20240409
PERI,TEa,PERI <> TEa,0.21611284405346073,2,459601,20240409
TEa,PERI,PERI <> TEa,0.20028077650317933,2,459601,20240409
PERI,VIS,PERI <> VIS,0.20956813293562473,1,459601,20240409
VIS,PERI,PERI <> VIS,0.21526207473782696,1,459601,20240409
PERI,VIS,PERI <> VIS,0.21335095420154215,2,459601,20240409
VIS,PERI,PERI <> VIS,0.20967851377931904,2,459601,20240409
PERI,CA1,PERI <> CA1,0.2541719344959582,1,459601,20240409
CA1,PERI,PERI <> CA1,0.39744162657566684,1,459601,20240409
PERI,CA1,PERI <> CA1,0.25288249508883176,2,459601,20240409
CA1,PERI,PERI <> CA1,0.3950252470453186,2,459601,20240409
TEa,VIS,TEa <> VIS,0.19230795890594368,1,459601,20240409
VIS,TEa,TEa <> VIS,0.20650548077771283,1,459601,20240409
TEa,VIS,TEa <> VIS,0.19789823168222728,2,459601,20240409
VIS,TEa,TEa <> VIS,0.20949505517253342,2,459601,20240409
TEa,CA1,TEa <> CA1,0.22489168917937427,1,459601,20240409
CA1,TEa,TEa <> CA1,0.3619350199361513,1,459601,20240409
TEa,CA1,TEa <> CA1,0.22952667716329697,2,459601,20240409
CA1,TEa,TEa <> CA1,0.36434781249134585,2,459601,20240409
VIS,CA1,VIS <> CA1,0.23826708624420556,1,459601,20240409
CA1,VIS,VIS <> CA1,0.3445778963449664,1,459601,20240409
VIS,CA1,VIS <> CA1,0.2361908390753727,2,459601,20240409
CA1,VIS,VIS <> CA1,0.3410482286763446,2,459601,20240409
PERI,TEa,PERI <> TEa,0.13699749863767213,1,459601,20240410
TEa,PERI,PERI <> TEa,0.24920103890015563,1,459601,20240410
PERI,TEa,PERI <> TEa,0.13934667960027886,2,459601,20240410
TEa,PERI,PERI <> TEa,0.2475322638277104,2,459601,20240410
PERI,VIS,PERI <> VIS,0.1571432172808722,1,459601,20240410
VIS,PERI,PERI <> VIS,0.3566085256367575,1,459601,20240410
PERI,VIS,PERI <> VIS,0.15639826059570885,2,459601,20240410
VIS,PERI,PERI <> VIS,0.3542260393914573,2,459601,20240410
PERI,CA1,PERI <> CA1,0.13663218758436563,1,459601,20240410
CA1,PERI,PERI <> CA1,0.2384665135614626,1,459601,20240410
PERI,CA1,PERI <> CA1,0.1377083640600121,2,459601,20240410
CA1,PERI,PERI <> CA1,0.23906333650618977,2,459601,20240410
TEa,VIS,TEa <> VIS,0.3051011793561665,1,459601,20240410
VIS,TEa,TEa <> VIS,0.39576554797202773,1,459601,20240410
TEa,VIS,TEa <> VIS,0.3057618090153018,2,459601,20240410
VIS,TEa,TEa <> VIS,0.39800029118676855,2,459601,20240410
TEa,CA1,TEa <> CA1,0.26406990357431204,1,459601,20240410
CA1,TEa,TEa <> CA1,0.24566653068617134,1,459601,20240410
TEa,CA1,TEa <> CA1,0.26728618729906056,2,459601,20240410
CA1,TEa,TEa <> CA1,0.2468584106501122,2,459601,20240410
VIS,CA1,VIS <> CA1,0.4037099008570948,1,459601,20240410
CA1,VIS,VIS <> CA1,0.32661568253507933,1,459601,20240410
VIS,CA1,VIS <> CA1,0.4035401706747356,2,459601,20240410
CA1,VIS,VIS <> CA1,0.3268061526307296,2,459601,20240410
LEC,PERI,LEC <> PERI,0.01604905351359594,1,459601,20240411
PERI,LEC,LEC <> PERI,0.15445684546951458,1,459601,20240411
LEC,PERI,LEC <> PERI,0.016164496246784888,2,459601,20240411
PERI,LEC,LEC <> PERI,0.1531928436703672,2,459601,20240411
LEC,TEa,LEC <> TEa,0.014377083478945467,1,459601,20240411
TEa,LEC,LEC <> TEa,0.09426616304110277,1,459601,20240411
LEC,TEa,LEC <> TEa,0.014765508833556281,2,459601,20240411
TEa,LEC,LEC <> TEa,0.09702177669847117,2,459601,20240411
LEC,VIS,LEC <> VIS,0.014072965082363744,1,459601,20240411
VIS,LEC,LEC <> VIS,0.03619390367983502,1,459601,20240411
LEC,VIS,LEC <> VIS,0.013590504463721226,2,459601,20240411
VIS,LEC,LEC <> VIS,0.04057500584054514,2,459601,20240411
LEC,CA1,LEC <> CA1,0.018531986340237425,1,459601,20240411
CA1,LEC,LEC <> CA1,0.051647294314072376,1,459601,20240411
LEC,CA1,LEC <> CA1,0.021063007950688672,2,459601,20240411
CA1,LEC,LEC <> CA1,0.045670899048016196,2,459601,20240411
PERI,TEa,PERI <> TEa,0.16392280278816676,1,459601,20240411
TEa,PERI,PERI <> TEa,0.10504490580453443,1,459601,20240411
PERI,TEa,PERI <> TEa,0.16131635078937517,2,459601,20240411
TEa,PERI,PERI <> TEa,0.10596564932932763,2,459601,20240411
PERI,VIS,PERI <> VIS,0.15422871102845387,1,459601,20240411
VIS,PERI,PERI <> VIS,0.04187097158526271,1,459601,20240411
PERI,VIS,PERI <> VIS,0.1517827099016723,2,459601,20240411
VIS,PERI,PERI <> VIS,0.04357529643904798,2,459601,20240411
PERI,CA1,PERI <> CA1,0.15820480177064095,1,459601,20240411
CA1,PERI,PERI <> CA1,0.023314643532736625,1,459601,20240411
