accuracy,position,region,n_neurons,n_trials,subject,date,probe
0.5,30,PERI 35,25,30,459601,20240409,probe00
0.4666666666666667,40,PERI 35,25,30,459601,20240409,probe00
0.4,50,PERI 35,25,30,459601,20240409,probe00
0.4666666666666667,60,PERI 35,25,30,459601,20240409,probe00
0.43333333333333335,70,PERI 35,25,30,459601,20240409,probe00
0.4666666666666667,80,PERI 35,25,30,459601,20240409,probe00
0.43333333333333335,90,PERI 35,25,30,459601,20240409,probe00
0.3333333333333333,100,PERI 35,25,30,459601,20240409,probe00
0.5,110,PERI 35,25,30,459601,20240409,probe00
0.43333333333333335,120,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,130,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,140,PERI 35,25,30,459601,20240409,probe00
0.6,150,PERI 35,25,30,459601,20240409,probe00
0.7333333333333333,160,PERI 35,25,30,459601,20240409,probe00
0.7333333333333333,170,PERI 35,25,30,459601,20240409,probe00
0.6666666666666666,180,PERI 35,25,30,459601,20240409,probe00
0.5,190,PERI 35,25,30,459601,20240409,probe00
0.6,200,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,210,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,220,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,230,PERI 35,25,30,459601,20240409,probe00
0.5,240,PERI 35,25,30,459601,20240409,probe00
0.4666666666666667,250,PERI 35,25,30,459601,20240409,probe00
0.4666666666666667,260,PERI 35,25,30,459601,20240409,probe00
0.36666666666666664,270,PERI 35,25,30,459601,20240409,probe00
0.43333333333333335,280,PERI 35,25,30,459601,20240409,probe00
0.3333333333333333,290,PERI 35,25,30,459601,20240409,probe00
0.4,300,PERI 35,25,30,459601,20240409,probe00
0.26666666666666666,310,PERI 35,25,30,459601,20240409,probe00
0.23333333333333334,320,PERI 35,25,30,459601,20240409,probe00
0.23333333333333334,330,PERI 35,25,30,459601,20240409,probe00
0.4,340,PERI 35,25,30,459601,20240409,probe00
0.3333333333333333,350,PERI 35,25,30,459601,20240409,probe00
0.4666666666666667,360,PERI 35,25,30,459601,20240409,probe00
0.5333333333333333,370,PERI 35,25,30,459601,20240409,probe00
0.6666666666666666,380,PERI 35,25,30,459601,20240409,probe00
0.5333333333333333,390,PERI 35,25,30,459601,20240409,probe00
0.6,400,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,410,PERI 35,25,30,459601,20240409,probe00
0.5333333333333333,420,PERI 35,25,30,459601,20240409,probe00
0.43333333333333335,430,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,440,PERI 35,25,30,459601,20240409,probe00
0.4,450,PERI 35,25,30,459601,20240409,probe00
0.5666666666666667,460,PERI 35,25,30,459601,20240409,probe00
