distance,accuracy,object,region,subject,date,probe
-275.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
-268.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
-261.0,0.5625,1,PERI 35,459601,20240410,probe00
-254.0,0.3333333333333333,1,PERI 35,459601,20240410,probe00
-247.0,0.3541666666666667,1,PERI 35,459601,20240410,probe00
-240.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
-233.0,0.3541666666666667,1,PERI 35,459601,20240410,probe00
-226.0,0.4166666666666667,1,PERI 35,459601,20240410,probe00
-219.0,0.5416666666666666,1,PERI 35,459601,20240410,probe00
-212.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
-205.0,0.375,1,PERI 35,459601,20240410,probe00
-198.0,0.5833333333333334,1,PERI 35,459601,20240410,probe00
-191.0,0.5208333333333334,1,PERI 35,459601,20240410,probe00
-184.0,0.5625,1,PERI 35,459601,20240410,probe00
-177.0,0.375,1,PERI 35,459601,20240410,probe00
-170.0,0.4583333333333333,1,PERI 35,459601,20240410,probe00
-163.0,0.4166666666666667,1,PERI 35,459601,20240410,probe00
-156.0,0.5,1,PERI 35,459601,20240410,probe00
-149.0,0.5,1,PERI 35,459601,20240410,probe00
-142.0,0.5208333333333334,1,PERI 35,459601,20240410,probe00
-135.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
-128.0,0.625,1,PERI 35,459601,20240410,probe00
-121.0,0.5208333333333334,1,PERI 35,459601,20240410,probe00
-114.0,0.4375,1,PERI 35,459601,20240410,probe00
-107.0,0.5,1,PERI 35,459601,20240410,probe00
-100.0,0.3333333333333333,1,PERI 35,459601,20240410,probe00
-93.0,0.3958333333333333,1,PERI 35,459601,20240410,probe00
-86.0,0.375,1,PERI 35,459601,20240410,probe00
-79.0,0.3958333333333333,1,PERI 35,459601,20240410,probe00
-72.0,0.3125,1,PERI 35,459601,20240410,probe00
-65.0,0.3541666666666667,1,PERI 35,459601,20240410,probe00
-58.0,0.3125,1,PERI 35,459601,20240410,probe00
-51.0,0.25,1,PERI 35,459601,20240410,probe00
-44.0,0.3125,1,PERI 35,459601,20240410,probe00
-37.0,0.625,1,PERI 35,459601,20240410,probe00
-30.0,0.5416666666666666,1,PERI 35,459601,20240410,probe00
-23.0,0.4166666666666667,1,PERI 35,459601,20240410,probe00
-16.0,0.3958333333333333,1,PERI 35,459601,20240410,probe00
-9.0,0.4375,1,PERI 35,459601,20240410,probe00
-2.0,0.5,1,PERI 35,459601,20240410,probe00
5.0,0.625,1,PERI 35,459601,20240410,probe00
12.0,0.5,1,PERI 35,459601,20240410,probe00
19.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
26.0,0.3541666666666667,1,PERI 35,459601,20240410,probe00
33.0,0.5833333333333334,1,PERI 35,459601,20240410,probe00
40.0,0.6875,1,PERI 35,459601,20240410,probe00
47.0,0.6666666666666666,1,PERI 35,459601,20240410,probe00
54.0,0.7708333333333334,1,PERI 35,459601,20240410,probe00
61.0,0.7916666666666666,1,PERI 35,459601,20240410,probe00
68.0,0.8541666666666666,1,PERI 35,459601,20240410,probe00
75.0,0.8125,1,PERI 35,459601,20240410,probe00
82.0,0.7083333333333334,1,PERI 35,459601,20240410,probe00
89.0,0.5,1,PERI 35,459601,20240410,probe00
96.0,0.5625,1,PERI 35,459601,20240410,probe00
103.0,0.4583333333333333,1,PERI 35,459601,20240410,probe00
110.0,0.4583333333333333,1,PERI 35,459601,20240410,probe00
117.0,0.4583333333333333,1,PERI 35,459601,20240410,probe00
124.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
131.0,0.5,1,PERI 35,459601,20240410,probe00
138.0,0.4166666666666667,1,PERI 35,459601,20240410,probe00
145.0,0.5625,1,PERI 35,459601,20240410,probe00
152.0,0.4375,1,PERI 35,459601,20240410,probe00
159.0,0.3541666666666667,1,PERI 35,459601,20240410,probe00
166.0,0.3958333333333333,1,PERI 35,459601,20240410,probe00
173.0,0.5625,1,PERI 35,459601,20240410,probe00
180.0,0.5416666666666666,1,PERI 35,459601,20240410,probe00
187.0,0.5208333333333334,1,PERI 35,459601,20240410,probe00
194.0,0.4791666666666667,1,PERI 35,459601,20240410,probe00
201.0,0.4375,1,PERI 35,459601,20240410,probe00
208.0,0.4166666666666667,1,PERI 35,459601,20240410,probe00
215.0,0.5208333333333334,1,PERI 35,459601,20240410,probe00
222.0,0.625,1,PERI 35,459601,20240410,probe00
229.0,0.5208333333333334,1,PERI 35,459601,20240410,probe00
236.0,0.4166666666666667,1,PERI 35,459601,20240410,probe00
243.0,0.4166666666666667,1,PERI 35,459601,20240410,probe00
250.0,0.4583333333333333,1,PERI 35,459601,20240410,probe00
257.0,0.4583333333333333,1,PERI 35,459601,20240410,probe00
264.0,0.4583333333333333,1,PERI 35,459601,20240410,probe00
271.0,0.5,1,PERI 35,459601,20240410,probe00
278.0,0.5,1,PERI 35,459601,20240410,probe00
-275.0,0.4791666666666667,2,PERI 35,459601,20240410,probe00
-268.0,0.4375,2,PERI 35,459601,20240410,probe00
-261.0,0.4583333333333333,2,PERI 35,459601,20240410,probe00
-254.0,0.3333333333333333,2,PERI 35,459601,20240410,probe00
-247.0,0.3333333333333333,2,PERI 35,459601,20240410,probe00
-240.0,0.4166666666666667,2,PERI 35,459601,20240410,probe00
-233.0,0.2708333333333333,2,PERI 35,459601,20240410,probe00
-226.0,0.2916666666666667,2,PERI 35,459601,20240410,probe00
-219.0,0.3125,2,PERI 35,459601,20240410,probe00
-212.0,0.3958333333333333,2,PERI 35,459601,20240410,probe00
-205.0,0.4375,2,PERI 35,459601,20240410,probe00
-198.0,0.5416666666666666,2,PERI 35,459601,20240410,probe00
-191.0,0.5625,2,PERI 35,459601,20240410,probe00
-184.0,0.5416666666666666,2,PERI 35,459601,20240410,probe00
-177.0,0.5833333333333334,2,PERI 35,459601,20240410,probe00
-170.0,0.3541666666666667,2,PERI 35,459601,20240410,probe00
-163.0,0.5,2,PERI 35,459601,20240410,probe00
-156.0,0.5416666666666666,2,PERI 35,459601,20240410,probe00
-149.0,0.625,2,PERI 35,459601,20240410,probe00
-142.0,0.4583333333333333,2,PERI 35,459601,20240410,probe00
