time,accuracy,region
-1.875,0.336,PERI
-1.875,0.44,PERI
-1.875,0.464,PERI
-1.875,0.352,PERI
-1.875,0.504,PERI
-1.875,0.56,PERI
-1.875,0.416,PERI
-1.875,0.408,PERI
-1.875,0.448,PERI
-1.875,0.36,PERI
-1.875,0.36,PERI
-1.875,0.576,PERI
-1.875,0.344,PERI
-1.875,0.328,PERI
-1.875,0.448,PERI
-1.875,0.456,PERI
-1.875,0.456,PERI
-1.875,0.472,PERI
-1.875,0.384,PERI
-1.875,0.4,PERI
-1.875,0.352,PERI
-1.875,0.432,PERI
-1.875,0.288,PERI
-1.875,0.416,PERI
-1.875,0.416,PERI
-1.875,0.392,PERI
-1.875,0.376,PERI
-1.875,0.44,PERI
-1.875,0.424,PERI
-1.875,0.352,PERI
-1.875,0.432,PERI
-1.875,0.464,PERI
-1.875,0.416,PERI
-1.875,0.336,PERI
-1.875,0.384,PERI
-1.875,0.384,PERI
-1.875,0.392,PERI
-1.875,0.288,PERI
-1.875,0.352,PERI
-1.875,0.376,PERI
-1.875,0.368,PERI
-1.875,0.4,PERI
-1.875,0.424,PERI
-1.875,0.4,PERI
-1.875,0.52,PERI
-1.875,0.376,PERI
-1.875,0.48,PERI
-1.875,0.352,PERI
-1.875,0.44,PERI
-1.875,0.368,PERI
-1.875,0.52,PERI
-1.875,0.352,PERI
-1.875,0.416,PERI
-1.875,0.336,PERI
-1.875,0.36,PERI
-1.875,0.456,PERI
-1.875,0.4,PERI
-1.875,0.336,PERI
-1.875,0.488,PERI
-1.875,0.376,PERI
-1.875,0.416,PERI
-1.875,0.456,PERI
-1.875,0.384,PERI
-1.875,0.536,PERI
-1.875,0.488,PERI
-1.875,0.512,PERI
-1.875,0.544,PERI
-1.875,0.288,PERI
-1.875,0.456,PERI
-1.875,0.512,PERI
-1.875,0.472,PERI
-1.875,0.376,PERI
-1.875,0.336,PERI
-1.875,0.424,PERI
-1.875,0.416,PERI
-1.875,0.416,PERI
-1.875,0.528,PERI
-1.875,0.424,PERI
-1.875,0.368,PERI
-1.875,0.368,PERI
-1.875,0.36,PERI
-1.875,0.424,PERI
-1.875,0.456,PERI
-1.875,0.536,PERI
-1.875,0.312,PERI
-1.875,0.432,PERI
-1.875,0.368,PERI
-1.875,0.464,PERI
-1.875,0.416,PERI
-1.875,0.4,PERI
-1.875,0.384,PERI
-1.875,0.456,PERI
-1.875,0.416,PERI
-1.875,0.416,PERI
-1.875,0.352,PERI
-1.875,0.48,PERI
-1.875,0.48,PERI
-1.875,0.496,PERI
-1.875,0.376,PERI
-1.875,0.352,PERI
-1.875,0.624,TEa
-1.875,0.672,TEa
-1.875,0.648,TEa
-1.875,0.552,TEa
-1.875,0.696,TEa
-1.875,0.608,TEa
-1.875,0.576,TEa
-1.875,0.688,TEa
-1.875,0.656,TEa
-1.875,0.568,TEa
-1.875,0.6,TEa
-1.875,0.696,TEa
-1.875,0.536,TEa
-1.875,0.704,TEa
-1.875,0.584,TEa
-1.875,0.664,TEa
-1.875,0.616,TEa
-1.875,0.616,TEa
-1.875,0.704,TEa
-1.875,0.664,TEa
-1.875,0.584,TEa
-1.875,0.656,TEa
-1.875,0.608,TEa
-1.875,0.56,TEa
-1.875,0.576,TEa
-1.875,0.624,TEa
-1.875,0.664,TEa
-1.875,0.56,TEa
-1.875,0.648,TEa
-1.875,0.688,TEa
-1.875,0.592,TEa
-1.875,0.648,TEa
-1.875,0.648,TEa
-1.875,0.592,TEa
-1.875,0.568,TEa
-1.875,0.56,TEa
-1.875,0.64,TEa
-1.875,0.568,TEa
-1.875,0.688,TEa
-1.875,0.576,TEa
-1.875,0.632,TEa
-1.875,0.696,TEa
-1.875,0.624,TEa
-1.875,0.496,TEa
-1.875,0.584,TEa
-1.875,0.664,TEa
-1.875,0.664,TEa
-1.875,0.704,TEa
-1.875,0.592,TEa
-1.875,0.552,TEa
-1.875,0.552,TEa
-1.875,0.752,TEa
-1.875,0.64,TEa
-1.875,0.536,TEa
-1.875,0.712,TEa
-1.875,0.584,TEa
-1.875,0.672,TEa
-1.875,0.632,TEa
-1.875,0.504,TEa
-1.875,0.624,TEa
-1.875,0.608,TEa
-1.875,0.64,TEa
-1.875,0.696,TEa
-1.875,0.648,TEa
-1.875,0.544,TEa
-1.875,0.664,TEa
-1.875,0.632,TEa
-1.875,0.64,TEa
-1.875,0.64,TEa
-1.875,0.576,TEa
-1.875,0.56,TEa
-1.875,0.48,TEa
-1.875,0.648,TEa
-1.875,0.64,TEa
-1.875,0.592,TEa
-1.875,0.52,TEa
-1.875,0.632,TEa
-1.875,0.568,TEa
-1.875,0.608,TEa
-1.875,0.68,TEa
-1.875,0.672,TEa
-1.875,0.656,TEa
-1.875,0.616,TEa
-1.875,0.608,TEa
-1.875,0.68,TEa
-1.875,0.64,TEa
-1.875,0.632,TEa
-1.875,0.6,TEa
-1.875,0.584,TEa
-1.875,0.528,TEa
-1.875,0.656,TEa
-1.875,0.584,TEa
-1.875,0.624,TEa
-1.875,0.688,TEa
-1.875,0.616,TEa
-1.875,0.704,TEa
-1.875,0.544,TEa
-1.875,0.568,TEa
-1.875,0.608,TEa
-1.875,0.456,TEa
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.875,0.496,VIS
-1.825,0.552,PERI
-1.825,0.368,PERI
-1.825,0.368,PERI
-1.825,0.416,PERI
-1.825,0.528,PERI
-1.825,0.48,PERI
-1.825,0.4,PERI
-1.825,0.424,PERI
-1.825,0.36,PERI
-1.825,0.504,PERI
-1.825,0.512,PERI
-1.825,0.424,PERI
-1.825,0.344,PERI
-1.825,0.4,PERI
-1.825,0.352,PERI
-1.825,0.472,PERI
-1.825,0.32,PERI
-1.825,0.44,PERI
-1.825,0.344,PERI
-1.825,0.424,PERI
-1.825,0.48,PERI
-1.825,0.496,PERI
-1.825,0.472,PERI
-1.825,0.416,PERI
-1.825,0.36,PERI
-1.825,0.44,PERI
-1.825,0.344,PERI
-1.825,0.616,PERI
-1.825,0.528,PERI
-1.825,0.376,PERI
-1.825,0.36,PERI
-1.825,0.4,PERI
-1.825,0.368,PERI
-1.825,0.504,PERI
-1.825,0.496,PERI
-1.825,0.448,PERI
-1.825,0.416,PERI
-1.825,0.424,PERI
-1.825,0.304,PERI
-1.825,0.448,PERI
-1.825,0.392,PERI
-1.825,0.48,PERI
-1.825,0.432,PERI
-1.825,0.488,PERI
-1.825,0.432,PERI
-1.825,0.376,PERI
-1.825,0.536,PERI
-1.825,0.464,PERI
-1.825,0.488,PERI
-1.825,0.384,PERI
-1.825,0.416,PERI
-1.825,0.368,PERI
-1.825,0.6,PERI
-1.825,0.392,PERI
-1.825,0.504,PERI
-1.825,0.488,PERI
-1.825,0.448,PERI
-1.825,0.448,PERI
-1.825,0.48,PERI
-1.825,0.4,PERI
-1.825,0.424,PERI
-1.825,0.424,PERI
-1.825,0.44,PERI
-1.825,0.416,PERI
-1.825,0.368,PERI
-1.825,0.552,PERI
-1.825,0.472,PERI
-1.825,0.432,PERI
-1.825,0.544,PERI
-1.825,0.456,PERI
-1.825,0.552,PERI
-1.825,0.496,PERI
-1.825,0.552,PERI
-1.825,0.4,PERI
-1.825,0.48,PERI
-1.825,0.368,PERI
-1.825,0.432,PERI
-1.825,0.488,PERI
-1.825,0.528,PERI
-1.825,0.48,PERI
-1.825,0.424,PERI
-1.825,0.64,PERI
-1.825,0.344,PERI
-1.825,0.48,PERI
-1.825,0.36,PERI
-1.825,0.368,PERI
-1.825,0.368,PERI
-1.825,0.408,PERI
-1.825,0.424,PERI
-1.825,0.44,PERI
-1.825,0.344,PERI
-1.825,0.456,PERI
-1.825,0.304,PERI
-1.825,0.4,PERI
