region_pair,region1,region2,object,p_value,f_stat,null_f_stat,subject,date
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.36926147704590817,1.0875749669859778,1.1573435348843717,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.9500998003992016,0.9486950880361766,1.1796225411647434,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.9700598802395209,0.9937131270767129,1.0035166629181524,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.5229540918163673,1.1675323438144611,1.1581635400417218,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.8183632734530938,0.9946366189482171,1.0121826358465535,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.8542914171656687,0.9819326173061376,1.2342793247650485,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object1,0.06986027944111776,1.2101123121116841,1.0732942633943303,459601,20240409
TEa → PERI 35,TEa,PERI 35,object1,0.05389221556886228,1.2353655442045421,1.1635692313678676,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object2,0.48303393213572854,1.0840220678420371,1.041266189854448,459601,20240409
TEa → PERI 35,TEa,PERI 35,object2,0.3872255489021956,1.156752483256678,1.093408961918596,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object3,0.6946107784431138,1.0050338088038009,0.9295204962968533,459601,20240409
TEa → PERI 35,TEa,PERI 35,object3,0.08982035928143713,1.1696522704560566,0.9213258858880213,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object1,0.04590818363273453,1.222924452337359,0.9418550596739056,459601,20240409
VIS → PERI 35,VIS,PERI 35,object1,0.5568862275449101,1.024554809330998,1.079347504460014,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object2,0.20758483033932135,1.1958754709271144,1.1708655169437947,459601,20240409
VIS → PERI 35,VIS,PERI 35,object2,0.07584830339321358,1.277336589879895,1.1348320612579916,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object3,0.8642714570858283,0.9752101030641425,1.0403362873301878,459601,20240409
VIS → PERI 35,VIS,PERI 35,object3,0.6447105788423154,1.0145836488750795,1.055344724376068,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object1,0.3333333333333333,1.0844443936892618,1.2302458884987353,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object1,0.8003992015968064,0.9762578832515183,1.0067984571411281,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object2,0.17964071856287425,1.1467565125267936,0.9314858707667582,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object2,0.21157684630738524,1.21231007509802,1.0666655296028997,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object3,0.9301397205588823,0.9423252573426583,1.0576076620435744,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object3,0.02594810379241517,1.2716361441648931,1.1331851608160857,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object1,0.7065868263473054,1.023537111109271,1.1517346827477448,459601,20240409
TEa → PERI 36,TEa,PERI 36,object1,0.5429141716566867,1.0970573948267754,1.0067472374872097,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object2,0.8822355289421158,0.9420294344113995,1.0446355613406988,459601,20240409
TEa → PERI 36,TEa,PERI 36,object2,0.2874251497005988,1.1425897278223458,1.0941404960024246,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object3,0.9520958083832335,0.9342809432046388,1.0198727845027642,459601,20240409
TEa → PERI 36,TEa,PERI 36,object3,0.499001996007984,1.0933671697700313,0.9947431590300476,459601,20240409
