region_pair,region1,region2,object,p_value,f_stat,subject,date
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.6610966885111509,0.9775284414729634,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.06077156130874351,1.0805871183293183,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.06077156130874351,1.096835327076396,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object2,0.6610966885111509,1.011933007694069,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object3,0.015635510128533092,1.1059845726170507,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object3,0.18782118685303947,1.0165079062961726,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object1,1.0,0.8872619963993511,459601,20240409
TEa → PERI 35,TEa,PERI 35,object1,0.06077156130874351,1.0734613805917184,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object2,0.015635510128533092,1.247161431485315,459601,20240409
TEa → PERI 35,TEa,PERI 35,object2,0.18782118685303947,1.1547028013346532,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object3,0.0005734889867712748,1.099192337606185,459601,20240409
TEa → PERI 35,TEa,PERI 35,object3,0.015635510128533092,1.0816742489155904,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object1,0.06077156130874351,0.9958574779909832,459601,20240409
VIS → PERI 35,VIS,PERI 35,object1,0.0032824855950018177,1.1831869171305296,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object2,0.6610966885111509,1.1139773403842939,459601,20240409
VIS → PERI 35,VIS,PERI 35,object2,1.0,1.0332699884848975,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object3,0.18782118685303947,1.0697967947200469,459601,20240409
VIS → PERI 35,VIS,PERI 35,object3,0.0005734889867712748,1.2055782467553915,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object1,0.06077156130874351,1.0814381137161135,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object1,0.6610966885111509,0.948529123273802,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object2,0.18782118685303947,0.9004965198852317,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object2,0.6610966885111509,1.0962482296325033,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object3,0.0032824855950018177,1.2046915768719832,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object3,0.0032824855950018177,1.2409008071861067,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object1,0.015635510128533092,1.2105265133479977,459601,20240409
TEa → PERI 36,TEa,PERI 36,object1,0.18782118685303947,1.1660607317941398,459601,20240409
