region_pair,region1,region2,p_value,f_stat,subject,date
PERI 35 → PERI 36,PERI 35,PERI 36,0.04604996476081187,1.9663655231265962,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,0.04604996476081187,1.664946175880522,459601,20240409
PERI 35 → TEa,PERI 35,TEa,0.0911819399981787,1.3960957189315233,459601,20240409
TEa → PERI 35,TEa,PERI 35,0.22067289045262906,1.5453587284123835,459601,20240409
PERI 35 → VIS,PERI 35,VIS,0.22067289045262906,1.708745761544494,459601,20240409
VIS → PERI 35,VIS,PERI 35,1.0,1.3484137737710853,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,0.014519366311596931,1.6704139477998754,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,0.806119883806343,1.5765046437788695,459601,20240409
PERI 36 → TEa,PERI 36,TEa,1.0,1.6463344207903652,459601,20240409
TEa → PERI 36,TEa,PERI 36,0.806119883806343,1.506542383759963,459601,20240409
PERI 36 → VIS,PERI 36,VIS,0.46124081928376093,2.0701412302008535,459601,20240409
VIS → PERI 36,VIS,PERI 36,0.0911819399981787,1.8328765937745393,459601,20240409
PERI 36 → dCA1,PERI 36,dCA1,0.630607357567875,1.8329488148734794,459601,20240409
dCA1 → PERI 36,dCA1,PERI 36,0.005292940348944133,2.55636821400736,459601,20240409
TEa → VIS,TEa,VIS,1.0,1.3651858151476581,459601,20240409
VIS → TEa,VIS,TEa,0.22067289045262906,1.5844109915009736,459601,20240409
TEa → dCA1,TEa,dCA1,0.014519366311596931,1.6382428934577244,459601,20240409
dCA1 → TEa,dCA1,TEa,1.0,1.3366484183948553,459601,20240409
VIS → dCA1,VIS,dCA1,1.0,1.3091134022942634,459601,20240409
dCA1 → VIS,dCA1,VIS,0.0911819399981787,1.6313452634708256,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,1.0,1.5016928861172143,459601,20240410
PERI 36 → PERI 35,PERI 36,PERI 35,0.03433369299031226,2.028201366933331,459601,20240410
PERI 35 → TEa,PERI 35,TEa,0.2523664957736742,1.9313432168999245,459601,20240410
TEa → PERI 35,TEa,PERI 35,0.2523664957736742,1.7527325484173764,459601,20240410
PERI 35 → VIS,PERI 35,VIS,0.4432379917688805,1.7646770310643423,459601,20240410
VIS → PERI 35,VIS,PERI 35,0.7009033616427303,1.9564959568194698,459601,20240410
PERI 35 → dCA1,PERI 35,dCA1,0.17479158724884702,2.1951737641017113,459601,20240410
dCA1 → PERI 35,dCA1,PERI 35,0.4432379917688805,1.8890945416639344,459601,20240410
PERI 36 → TEa,PERI 36,TEa,0.2523664957736742,2.045511557900796,459601,20240410
TEa → PERI 36,TEa,PERI 36,0.3340584908820863,1.5858069051477086,459601,20240410
PERI 36 → VIS,PERI 36,VIS,0.4432379917688805,1.6344739393268741,459601,20240410
VIS → PERI 36,VIS,PERI 36,1.0,1.7546770164690528,459601,20240410
PERI 36 → dCA1,PERI 36,dCA1,0.0064958120555443505,1.9359136429123538,459601,20240410
dCA1 → PERI 36,dCA1,PERI 36,0.03433369299031226,5.175237491465999,459601,20240410
TEa → VIS,TEa,VIS,1.0,3.2042188443365793,459601,20240410
VIS → TEa,VIS,TEa,0.2523664957736742,2.6537913657518803,459601,20240410
TEa → dCA1,TEa,dCA1,0.03433369299031226,20.66517112690012,459601,20240410
dCA1 → TEa,dCA1,TEa,0.0064958120555443505,8.646621772411487,459601,20240410
VIS → dCA1,VIS,dCA1,0.2523664957736742,3.245926975611324,459601,20240410
dCA1 → VIS,dCA1,VIS,0.17479158724884702,2.190691761989287,459601,20240410
LEC → PERI 35,LEC,PERI 35,0.004696977446404708,1.8028200799030822,459601,20240411
PERI 35 → LEC,PERI 35,LEC,1.0,1.6771488277505595,459601,20240411
LEC → PERI 36,LEC,PERI 36,0.30254578549603617,1.6313658594770313,459601,20240411
PERI 36 → LEC,PERI 36,LEC,1.0,1.7163363314418025,459601,20240411
LEC → TEa,LEC,TEa,0.05635681834082537,1.8477103622591717,459601,20240411
TEa → LEC,TEa,LEC,0.10531886963647238,1.6308912422460131,459601,20240411
LEC → VIS,LEC,VIS,0.30254578549603617,1.8139438602496467,459601,20240411
VIS → LEC,VIS,LEC,0.0001697229593882767,2.0309517370086243,459601,20240411
LEC → dCA1,LEC,dCA1,0.18477889181680107,1.6947277844108657,459601,20240411
dCA1 → LEC,dCA1,LEC,0.004696977446404708,2.1593071401667547,459601,20240411
