region_pair,region1,region2,object,p_value,f_stat,subject,date
PERI 35 → PERI 36,PERI 35,PERI 36,object1,0.0032824855950018177,0.8808652170151333,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object1,0.0032824855950018177,1.3823528513302403,459601,20240409
PERI 35 → TEa,PERI 35,TEa,object1,0.6610966885111509,0.9687816205621224,459601,20240409
TEa → PERI 35,TEa,PERI 35,object1,0.18782118685303947,1.1498692390511092,459601,20240409
PERI 35 → VIS,PERI 35,VIS,object1,0.015635510128533092,1.1164439569524571,459601,20240409
VIS → PERI 35,VIS,PERI 35,object1,8.464749355674065e-05,1.049191161486191,459601,20240409
PERI 35 → dCA1,PERI 35,dCA1,object1,0.0032824855950018177,0.8491288433355675,459601,20240409
dCA1 → PERI 35,dCA1,PERI 35,object1,8.464749355674065e-05,1.2395262122844948,459601,20240409
PERI 36 → TEa,PERI 36,TEa,object1,0.0005734889867712748,1.5507016569267584,459601,20240409
TEa → PERI 36,TEa,PERI 36,object1,1.0678057083488749e-05,1.4933706625230199,459601,20240409
PERI 36 → VIS,PERI 36,VIS,object1,0.06077156130874351,1.0559802671098062,459601,20240409
VIS → PERI 36,VIS,PERI 36,object1,0.0005734889867712748,1.5257470453758861,459601,20240409
PERI 36 → dCA1,PERI 36,dCA1,object1,0.18782118685303947,1.1988386834945333,459601,20240409
dCA1 → PERI 36,dCA1,PERI 36,object1,0.06077156130874351,1.3439918478024748,459601,20240409
TEa → VIS,TEa,VIS,object1,0.0005734889867712748,0.903815516000717,459601,20240409
VIS → TEa,VIS,TEa,object1,8.464749355674065e-05,1.1982136462827937,459601,20240409
TEa → dCA1,TEa,dCA1,object1,0.06077156130874351,1.008656974159849,459601,20240409
dCA1 → TEa,dCA1,TEa,object1,1.0678057083488749e-05,1.314087328526028,459601,20240409
VIS → dCA1,VIS,dCA1,object1,8.464749355674065e-05,1.1326019876304771,459601,20240409
dCA1 → VIS,dCA1,VIS,object1,0.0005734889867712748,1.0189955259148613,459601,20240409
PERI 35 → PERI 36,PERI 35,PERI 36,object2,0.6610966885111509,1.2283706936787104,459601,20240409
PERI 36 → PERI 35,PERI 36,PERI 35,object2,8.464749355674065e-05,1.869649801853102,459601,20240409
