switch,context,distance,position,subject,date,probe,lda_pos,region
0,1,8.102876699043935e+18,30,459601,20240409,probe00,600,Cortex
0,2,-7.461596054433061e+19,30,459601,20240409,probe00,600,Cortex
1,1,1.7768474322072447e+19,30,459601,20240409,probe00,600,Cortex
1,2,-1.0051131850640564e+19,30,459601,20240409,probe00,600,Cortex
0,1,1.1953141682089816e+19,40,459601,20240409,probe00,600,Cortex
0,2,-7.27392595217868e+19,40,459601,20240409,probe00,600,Cortex
1,1,2.018787552905344e+19,40,459601,20240409,probe00,600,Cortex
1,2,9.30278111987805e+17,40,459601,20240409,probe00,600,Cortex
0,1,-1.5594432552813242e+19,50,459601,20240409,probe00,600,Cortex
0,2,-7.53696772087001e+19,50,459601,20240409,probe00,600,Cortex
1,1,2.19283993478942e+19,50,459601,20240409,probe00,600,Cortex
1,2,8.72432387870974e+18,50,459601,20240409,probe00,600,Cortex
0,1,-5.147625363234436e+19,60,459601,20240409,probe00,600,Cortex
0,2,4.416692353601378e+19,60,459601,20240409,probe00,600,Cortex
1,1,2.4584829260920435e+19,60,459601,20240409,probe00,600,Cortex
1,2,3.0764486216582787e+19,60,459601,20240409,probe00,600,Cortex
0,1,-6.30276386088601e+19,70,459601,20240409,probe00,600,Cortex
0,2,3.974926169963978e+19,70,459601,20240409,probe00,600,Cortex
1,1,2.9441420087509967e+19,70,459601,20240409,probe00,600,Cortex
1,2,3.5166108917432975e+19,70,459601,20240409,probe00,600,Cortex
0,1,-8.905260491608677e+19,80,459601,20240409,probe00,600,Cortex
0,2,4.045582785452688e+19,80,459601,20240409,probe00,600,Cortex
1,1,2.397138397140552e+19,80,459601,20240409,probe00,600,Cortex
1,2,2.392527949680029e+19,80,459601,20240409,probe00,600,Cortex
0,1,-1.1852046049360976e+20,90,459601,20240409,probe00,600,Cortex
0,2,3.0780262678789845e+19,90,459601,20240409,probe00,600,Cortex
1,1,2.0069728305263743e+19,90,459601,20240409,probe00,600,Cortex
1,2,1.785949289185312e+19,90,459601,20240409,probe00,600,Cortex
0,1,-1.4091155420805652e+20,100,459601,20240409,probe00,600,Cortex
0,2,2.0044512771968143e+19,100,459601,20240409,probe00,600,Cortex
1,1,1.749489127644658e+19,100,459601,20240409,probe00,600,Cortex
1,2,1.1371069550070776e+19,100,459601,20240409,probe00,600,Cortex
0,1,-1.6284836535380397e+20,110,459601,20240409,probe00,600,Cortex
0,2,1.2938174070935824e+19,110,459601,20240409,probe00,600,Cortex
1,1,1.1563061541219938e+19,110,459601,20240409,probe00,600,Cortex
1,2,4.3408742696236954e+18,110,459601,20240409,probe00,600,Cortex
0,1,9.827398125973823e+18,120,459601,20240409,probe00,600,Cortex
0,2,7.347235395590609e+18,120,459601,20240409,probe00,600,Cortex
