distance,lda_distance,region,control
2.5,1.5692097453253497,PERI 35,0
2.5,3.2997461766578153,PERI 35,1
2.5,20.24232725093736,PERI 36,0
2.5,4.760989401119587,PERI 36,1
2.5,0.5172907873930352,TEa,0
2.5,2.260105222028583,TEa,1
2.5,0.35009130429282287,VIS,0
2.5,0.81712025238985,VIS,1
3.5,1.7136988450414914,PERI 35,0
3.5,3.71984617772421,PERI 35,1
3.5,20.599700436645836,PERI 36,0
3.5,2.0657454175140817,PERI 36,1
3.5,0.5880923224445336,TEa,0
3.5,1.6843760532230665,TEa,1
3.5,0.6309315742324415,VIS,0
3.5,0.653142866851277,VIS,1
4.5,2.2504702915371237,PERI 35,0
4.5,1.9253278035234247,PERI 35,1
4.5,30.448240620025388,PERI 36,0
4.5,2.511035405494521,PERI 36,1
4.5,1.089042260058934,TEa,0
4.5,0.9556280732679969,TEa,1
4.5,0.2685101692695261,VIS,0
4.5,0.34457027164535314,VIS,1
5.5,1.59086624963003,PERI 35,0
5.5,0.9541590211455561,PERI 35,1
5.5,19.737868322108117,PERI 36,0
5.5,2.6224348066724827,PERI 36,1
5.5,0.7289551131118368,TEa,0
5.5,2.193200343397545,TEa,1
5.5,0.16590244606658489,VIS,0
5.5,0.10442409105442765,VIS,1
6.5,1.5619062412048628,PERI 35,0
6.5,1.913205101193582,PERI 35,1
6.5,13.405019739001297,PERI 36,0
6.5,2.6974182361331267,PERI 36,1
6.5,0.9820790809709053,TEa,0
6.5,1.9070506857512983,TEa,1
6.5,0.7332983493758312,VIS,0
6.5,0.10434348153819831,VIS,1
7.5,1.4300964025231806,PERI 35,0
7.5,2.0942172620966675,PERI 35,1
7.5,12.445081433445282,PERI 36,0
7.5,2.792381995209928,PERI 36,1
7.5,0.5114970677616616,TEa,0
7.5,0.9358593727707161,TEa,1
7.5,0.5533511524353449,VIS,0
7.5,0.028122902185401477,VIS,1
8.5,1.4544356514730024,PERI 35,0
8.5,1.2644461795355408,PERI 35,1
8.5,7.099622707909993,PERI 36,0
8.5,2.264188898415439,PERI 36,1
8.5,0.18707807523240905,TEa,0
8.5,0.44358854847097207,TEa,1
8.5,0.48345204817270404,VIS,0
8.5,0.11252611167642318,VIS,1
9.5,0.8025959962802958,PERI 35,0
9.5,2.5353574746796332,PERI 35,1
9.5,2.2956369649247224,PERI 36,0
9.5,0.18812071862713853,PERI 36,1
9.5,0.9373809631160922,TEa,0
9.5,0.5535161827166075,TEa,1
9.5,1.503807928736368,VIS,0
9.5,0.2544595507249545,VIS,1
10.5,1.1085811615268693,PERI 35,0
10.5,1.8696598652415468,PERI 35,1
10.5,2.8378323506165692,PERI 36,0
10.5,0.7176828907116521,PERI 36,1
10.5,1.2152038226396158,TEa,0
10.5,1.1145645110511766,TEa,1
10.5,1.3833049376089677,VIS,0
10.5,0.22770747864659682,VIS,1
11.5,0.5836090879976943,PERI 35,0
11.5,0.6653441575231084,PERI 35,1
11.5,2.56782464987449,PERI 36,0
11.5,0.9715642031437484,PERI 36,1
11.5,1.1770564739186697,TEa,0
11.5,1.568873093560119,TEa,1
11.5,0.8031027172608296,VIS,0
11.5,0.49763540476477686,VIS,1
12.5,0.37544836146371674,PERI 35,0
12.5,0.8693653650042317,PERI 35,1
12.5,3.4187742549043905,PERI 36,0
12.5,1.4481028030629375,PERI 36,1
12.5,0.21108704820302715,TEa,0
12.5,1.299719066022734,TEa,1
12.5,1.1469865125933274,VIS,0
12.5,0.43154716563843737,VIS,1
13.5,0.5426169156081171,PERI 35,0
