subject,date,probe,neuron_id,region,allen_acronym,x,y,z,p_object,p_goal,p_interaction,eta2_object,eta2_goal,eta2_interaction,n_encounters,t_win_start_s,t_win_end_s
459601,20240409,probe00,7,PERI,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,0.1146600578640214,0.38325516657687053,0.757582199204915,0.043849242562511395,0.013603841084541475,0.0017150207231670569,60,0.5,1.0
459601,20240409,probe00,9,PERI,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,0.7216058175338802,0.19451206709280683,0.7216058175338802,0.0022848438690022898,0.029869168106640365,0.0022848438690023084,60,0.5,1.0
459601,20240409,probe00,11,PERI,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,0.19963711878296087,0.6584004204078842,0.6841491866557923,0.029203360386674558,0.0035156799324989347,0.0029772792507837304,60,0.5,1.0
459601,20240409,probe00,14,PERI,PERI5,-4538.341591718925,-3598.308481655678,-3819.75296020896,0.6280367046420313,0.3842803217226849,0.7343634105109575,0.004220299641274538,0.01354571679418034,0.002072407376078515,60,0.5,1.0
459601,20240409,probe00,15,PERI,PERI5,-4531.488942543572,-3597.851964065155,-3800.969124612332,0.28841504362246256,0.28841504362245957,0.28841504362245957,0.02010050251256276,0.02010050251256287,0.020100502512562835,60,0.5,1.0
459601,20240409,probe00,16,PERI,PERI5,-4524.6362883822585,-3597.395446142472,-3782.18527534866,0.201507660347915,0.27197712090024545,0.30242934112338526,0.02896522313134743,0.021507318065552894,0.018977841233318957,60,0.5,1.0
459601,20240409,probe00,17,PERI,PERI5,-4538.341591718925,-3598.308481655678,-3819.75296020896,0.16185000889940995,0.9250444144687204,0.9250444144687204,0.034642032332563515,0.00015946420028703552,0.00015946420028704143,60,0.5,1.0
459601,20240409,probe00,23,PERI,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,0.23519148347700305,0.23519148347700305,0.23519148347700242,0.02506963788300835,0.025069637883008374,0.025069637883008474,60,0.5,1.0
459601,20240409,probe00,25,PERI,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,0.1806078543237996,0.2757861874267904,0.9367184522586238,0.031781291926012326,0.021172138692850576,0.00011356667499488157,60,0.5,1.0
459601,20240409,probe00,28,PERI,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,0.6505680328833737,0.6505680328833737,0.820701039576108,0.003690036900369011,0.0036900369003690127,0.000925069380203515,60,0.5,1.0
459601,20240409,probe00,30,PERI,PERI5,-4504.078330884278,-3596.025892706583,-3725.8337412246888,0.28841504362246256,0.28841504362245957,0.28841504362245957,0.020100502512562752,0.020100502512562863,0.020100502512562835,60,0.5,1.0
459601,20240409,probe00,31,PERI,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,0.6270704069037378,0.6270704069037378,0.16140871563809822,0.0042440165141322496,0.004244016514132287,0.03471373529494086,60,0.5,1.0
459601,20240409,probe00,32,PERI,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,0.09173020243720058,0.46927040905473016,0.6909963160657824,0.04994423565356753,0.009391093607997551,0.0028428373287165683,60,0.5,1.0
459601,20240409,probe00,34,PERI,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,0.2661392024124938,0.03256070842040231,0.192370371825189,0.02203236009378654,0.07901453322928699,0.030153372148342843,60,0.5,1.0
459601,20240409,probe00,35,PERI,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,0.2543366351615175,0.46343263487518815,0.8141032129509793,0.023138006571741546,0.009639111659469471,0.000995659546663755,60,0.5,1.0
459601,20240409,probe00,36,PERI,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,0.19091170300531513,0.19091170300531438,0.19091170300531438,0.030349013657056025,0.030349013657056213,0.030349013657056178,60,0.5,1.0
