subject,date,probe,neuron_id,region,allen_acronym,x,y,z,p,r
459601,20240409,probe00,7,PERI 35,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,0.825,-0.002581579221851652
459601,20240409,probe00,9,PERI 35,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,0.0,-0.12215811901998624
459601,20240409,probe00,11,PERI 35,PERI5,-4545.194245880239,-3598.764999578361,-3838.5368094726314,0.146,0.01594025823629998
459601,20240409,probe00,14,PERI 35,PERI5,-4538.341591718925,-3598.308481655678,-3819.75296020896,0.728,-0.009148269575557429
459601,20240409,probe00,15,PERI 35,PERI5,-4531.488942543572,-3597.851964065155,-3800.969124612332,0.001,-0.07844026114216576
459601,20240409,probe00,16,PERI 35,PERI5,-4524.6362883822585,-3597.395446142472,-3782.18527534866,0.0,-0.12061260014685049
459601,20240409,probe00,17,PERI 35,PERI5,-4538.341591718925,-3598.308481655678,-3819.75296020896,0.002,-0.05664924620065935
459601,20240409,probe00,23,PERI 35,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,0.559,-0.022202151922885462
459601,20240409,probe00,25,PERI 35,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,0.204,-0.031870201699883215
459601,20240409,probe00,28,PERI 35,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,0.0,-0.1421928515657564
459601,20240409,probe00,30,PERI 35,PERI5,-4504.078330884278,-3596.025892706583,-3725.8337412246888,0.412,0.02993753831341382
459601,20240409,probe00,31,PERI 35,PERI5,-4510.930985045592,-3596.4824106292663,-3744.6175904883607,0.052,-0.06452488617226121
459601,20240409,probe00,32,PERI 35,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,0.268,-0.03546579647608831
459601,20240409,probe00,34,PERI 35,PERI5,-4497.225676722965,-3595.5693747839,-3707.049891961017,0.0,-0.07730959390368901
459601,20240409,probe00,35,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,0.012,-0.06003311975302157
459601,20240409,probe00,36,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,0.0,-0.0660624374538633
459601,20240409,probe00,37,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,0.0,-0.07180295588575841
459601,20240409,probe00,38,PERI 35,PERI5,-4483.520378372257,-3594.6563396028546,-3669.4822207677616,0.002,-0.06073572776734683
459601,20240409,probe00,39,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,0.212,-0.035426051026977226
459601,20240409,probe00,40,PERI 35,PERI5,-4490.373032533571,-3595.112857525537,-3688.2660700314336,0.001,-0.0819974910742215
459601,20240409,probe00,43,PERI 35,PERI6a,-4469.815070049631,-3593.7433037574883,-3631.9145222404177,0.904,0.0038104872889466856
459601,20240409,probe00,44,PERI 35,PERI5,-4476.667724210944,-3594.199821680171,-3650.6983715040897,0.002,0.09510378817870546
459601,20240409,probe00,47,PERI 35,PERI5,-4476.667724210944,-3594.199821680171,-3650.6983715040897,0.0,-0.08736887819894695
459601,20240409,probe00,48,PERI 35,PERI6a,-4462.962425860238,-3593.286786499126,-3613.1307003108345,0.692,0.013382544643802743
459601,20240409,probe00,50,PERI 36,ECT6a,-4456.109771698924,-3592.830268576443,-3594.3468510471625,0.026,0.05461167123650058
459601,20240409,probe00,52,PERI 35,PERI6a,-4462.962425860238,-3593.286786499126,-3613.1307003108345,0.49,-0.021899953935269875
459601,20240409,probe00,54,PERI 36,ECT6a,-4456.109771698924,-3592.830268576443,-3594.3468510471625,0.437,0.02504791634187294
459601,20240409,probe00,55,PERI 36,ECT6a,-4456.109771698924,-3592.830268576443,-3594.3468510471625,0.166,0.04966511943202054
459601,20240409,probe00,56,PERI 36,ECT6a,-4456.109771698924,-3592.830268576443,-3594.3468510471625,0.04,0.07062461735272305
459601,20240409,probe00,59,PERI 36,ECT6a,-4442.404463376297,-3591.917232731076,-3556.7791525198186,0.02,-0.0836193177694876
459601,20240409,probe00,62,PERI 36,ECT6a,-4456.109771698924,-3592.830268576443,-3594.3468510471625,0.144,-0.07321108502074587
459601,20240409,probe00,63,PERI 36,ECT6a,-4449.257117537611,-3592.3737506537595,-3575.5630017834906,0.003,-0.07742240665809252
459601,20240409,probe00,65,PERI 36,ECT6a,-4442.404463376297,-3591.917232731076,-3556.7791525198186,0.948,-0.0013210802816166346
459601,20240409,probe00,67,PERI 36,ECT6a,-4449.257117537611,-3592.3737506537595,-3575.5630017834906,0.001,-0.05108926239877022
459601,20240409,probe00,68,PERI 36,ECT6a,-4449.257117537611,-3592.3737506537595,-3575.5630017834906,0.243,-0.0318076405920077
459601,20240409,probe00,69,PERI 36,ECT6a,-4449.257117537611,-3592.3737506537595,-3575.5630017834906,0.003,0.09691498750667217
459601,20240409,probe00,70,PERI 36,ECT6a,-4449.257117537611,-3592.3737506537595,-3575.5630017834906,0.99,-0.0002466953804564154
459601,20240409,probe00,71,PERI 36,ECT6a,-4442.404463376297,-3591.917232731076,-3556.7791525198186,0.739,-0.01091167459345211
459601,20240409,probe00,72,PERI 36,ECT6a,-4449.257117537611,-3592.3737506537595,-3575.5630017834906,0.001,-0.08442092038589621
459601,20240409,probe00,73,PERI 36,ECT6a,-4435.551819186904,-3591.460715472714,-3537.995330590236,0.564,-0.018097474989686814
459601,20240409,probe00,75,PERI 36,ECT6a,-4435.551819186904,-3591.460715472714,-3537.995330590236,0.035,-0.058126756902669365
459601,20240409,probe00,76,PERI 36,ECT6a,-4435.551819186904,-3591.460715472714,-3537.995330590236,0.01,-0.08151111477118297
459601,20240409,probe00,78,PERI 36,ECT6a,-4435.551819186904,-3591.460715472714,-3537.995330590236,0.348,0.02753989870683116
459601,20240409,probe00,79,PERI 36,ECT6a,-4435.551819186904,-3591.460715472714,-3537.995330590236,0.004,-0.08607546895254001
459601,20240409,probe00,85,PERI 36,ECT6a,-4421.846510864277,-3590.547679627348,-3500.4276320628915,0.177,-0.03682555062975315
459601,20240409,probe00,86,PERI 36,ECT6a,-4414.993866674885,-3590.0911623689854,-3481.6438101333088,0.971,0.0015161811986816919
459601,20240409,probe00,93,PERI 36,ECT6a,-4408.141202541649,-3589.6346437819816,-3462.859933535548,0.003,-0.1156401942004337
459601,20240409,probe00,94,PERI 36,ECT6a,-4408.141202541649,-3589.6346437819816,-3462.859933535548,0.0,-0.1234481505571625
459601,20240409,probe00,106,PERI 36,ECT6a,-4332.762036682962,-3584.6129486254295,-3256.2376736374226,0.0,0.3432045999240572
459601,20240409,probe00,109,TEa,TEa6b,-4312.204084170943,-3583.2433955217007,-3199.886153180496,0.0,0.3235213954847594
459601,20240409,probe00,114,TEa,TEa6b,-4312.204084170943,-3583.2433955217007,-3199.886153180496,0.0,0.21425965708964817
459601,20240409,probe00,116,TEa,TEa6b,-4312.204084170943,-3583.2433955217007,-3199.886153180496,0.104,0.07632316549936019
459601,20240409,probe00,119,TEa,TEa6b,-4319.056728360336,-3583.6999127800636,-3218.669975110079,0.305,0.049324664210179586
459601,20240409,probe00,123,TEa,TEa6b,-4298.498775848315,-3582.3303596763344,-3162.318454653152,0.0,0.2628387050146964
459601,20240409,probe00,137,TEa,TEa6b,-4243.677562501648,-3578.6782176235115,-3012.047715211954,0.0,0.29266806356205033
459601,20240409,probe00,141,TEa,TEa6b,-4271.088179146902,-3580.5042893142436,-3087.1831122666417,0.0,-0.09170988368364552
459601,20240409,probe00,147,TEa,TEa6b,-4243.677562501648,-3578.6782176235115,-3012.047715211954,0.0,0.1604554139525859
459601,20240409,probe00,148,TEa,TEa6b,-4236.824898368413,-3578.2216990365073,-2993.2638386141925,0.0,0.2842631272545496
459601,20240409,probe00,149,TEa,TEa6b,-4243.677562501648,-3578.6782176235115,-3012.047715211954,0.0,0.19234599117950363
459601,20240409,probe00,151,TEa,TEa6b,-4236.824898368413,-3578.2216990365073,-2993.2638386141925,0.11,-0.024643905906046516
459601,20240409,probe00,152,TEa,TEa6b,-4236.824898368413,-3578.2216990365073,-2993.2638386141925,0.001,0.054233926334118415
459601,20240409,probe00,153,TEa,TEa6b,-4243.677562501648,-3578.6782176235115,-3012.047715211954,0.0,0.09780559093271073
459601,20240409,probe00,155,root,ar,-4223.119609989628,-3577.3086645197823,-2955.6961947550267,0.0,0.30172059134517276
459601,20240409,probe00,156,TEa,TEa6b,-4229.9722741228625,-3577.765183106787,-2974.4800713527875,0.0,0.23873864688040608
459601,20240409,probe00,159,root,ar,-4223.119609989628,-3577.3086645197823,-2955.6961947550267,0.115,-0.044681546529397244
459601,20240409,probe00,160,root,ar,-4223.119609989628,-3577.3086645197823,-2955.6961947550267,0.0,0.17228921929580845
459601,20240409,probe00,161,root,ar,-4223.119609989628,-3577.3086645197823,-2955.6961947550267,0.034,0.09124220225617566
459601,20240409,probe00,162,TEa,TEa6b,-4229.9722741228625,-3577.765183106787,-2974.4800713527875,0.0,0.2693246418484125
459601,20240409,probe00,167,root,ar,-4223.119609989628,-3577.3086645197823,-2955.6961947550267,0.0,0.14770232133019429
459601,20240409,probe00,174,TEa,TEa6b,-4209.414321610842,-3576.395630003058,-2918.1285508958604,0.407,0.014425331332106658
459601,20240409,probe00,177,TEa,TEa6b,-4209.414321610842,-3576.395630003058,-2918.1285508958604,0.141,-0.028229143476945905
459601,20240409,probe00,179,TEa,TEa6b,-4209.414321610842,-3576.395630003058,-2918.1285508958604,0.0,-0.13032238990520612
459601,20240409,probe00,182,TEa,TEa6b,-4202.202264225682,-3575.7985639266512,-2899.487486738073,0.0,-0.062289009811064215
459601,20240409,probe00,190,TEa,TEa6b,-4202.202264225682,-3575.7985639266512,-2899.487486738073,0.0,-0.10298124266059128
459601,20240409,probe00,191,TEa,TEa6b,-4202.202264225682,-3575.7985639266512,-2899.487486738073,0.0,-0.07131334020738073
459601,20240409,probe00,193,TEa,TEa6b,-4179.6625030576115,-3573.653987280908,-2843.9234794807244,0.705,-0.004141016859960191
459601,20240409,probe00,195,TEa,TEa6b,-4187.1757276250355,-3574.368843388804,-2862.444743360921,0.719,-0.013294107616337675
459601,20240409,probe00,199,TEa,TEa6b,-4179.6625030576115,-3573.653987280908,-2843.9234794807244,0.162,0.017904882917197145
459601,20240409,probe00,201,TEa,TEa6b,-4187.1757276250355,-3574.368843388804,-2862.444743360921,0.0,-0.09986075748344876
459601,20240409,probe00,203,TEa,TEa6b,-4164.635966456965,-3572.224266743061,-2806.8807361035715,0.049,-0.06877639240194759
459601,20240409,probe00,209,TEa,TEa6b,-4149.609473589219,-3570.794550366241,-2769.8381005347987,0.0,0.28754805934348293
459601,20240409,probe00,212,TEa,TEa6b,-4157.122741889542,-3571.5094106351644,-2788.3594722233747,0.002,-0.05348363562039242
459601,20240409,probe00,213,TEa,TEa6b,-4149.609473589219,-3570.794550366241,-2769.8381005347987,0.0,-0.1053742805652176
459601,20240409,probe00,214,TEa,TEa6b,-4142.096205288895,-3570.0796900973173,-2751.3167288462223,0.0,-0.06318510807138009
459601,20240409,probe00,215,TEa,TEa6b,-4142.096205288895,-3570.0796900973173,-2751.3167288462223,0.0,-0.09710524607184855
459601,20240409,probe00,216,TEa,TEa6b,-4142.096205288895,-3570.0796900973173,-2751.3167288462223,0.0,-0.11848539155491179
459601,20240409,probe00,219,TEa,TEa6b,-4142.096205288895,-3570.0796900973173,-2751.3167288462223,0.95,-0.00164378885635916
459601,20240409,probe00,226,TEa,TEa6b,-4112.043219553402,-3567.2202573436775,-2677.231457708676,0.0,-0.09847822887606997
459601,20240409,probe00,231,TEa,TEa6b,-4112.043219553402,-3567.2202573436775,-2677.231457708676,0.022,0.10781239387311403
