n_patterns,log_likelihood,region,subject,date
1,-345838.8125,PERI,459601,20240409
2,-327444.125,PERI,459601,20240409
3,-319111.5,PERI,459601,20240409
4,-312791.375,PERI,459601,20240409
5,-309456.71875,PERI,459601,20240409
6,-306303.6875,PERI,459601,20240409
7,-295301.6875,PERI,459601,20240409
8,-298892.8125,PERI,459601,20240409
9,-299697.53125,PERI,459601,20240409
10,-300416.8125,PERI,459601,20240409
11,-301528.34375,PERI,459601,20240409
12,-307391.78125,PERI,459601,20240409
1,-464500.5,TEa,459601,20240409
2,-446180.375,TEa,459601,20240409
3,-428473.5625,TEa,459601,20240409
4,-419045.90625,TEa,459601,20240409
5,-410612.65625,TEa,459601,20240409
6,-405932.5625,TEa,459601,20240409
7,-402165.78125,TEa,459601,20240409
8,-398757.21875,TEa,459601,20240409
9,-397901.5625,TEa,459601,20240409
10,-395250.90625,TEa,459601,20240409
11,-396675.65625,TEa,459601,20240409
12,-401765.375,TEa,459601,20240409
1,-509556.03125,VIS,459601,20240409
2,-486689.90625,VIS,459601,20240409
3,-471599.84375,VIS,459601,20240409
4,-460049.5,VIS,459601,20240409
5,-457793.53125,VIS,459601,20240409
6,-446596.59375,VIS,459601,20240409
7,-442805.09375,VIS,459601,20240409
8,-436298.1875,VIS,459601,20240409
9,-437277.09375,VIS,459601,20240409
10,-439740.5625,VIS,459601,20240409
11,-435649.21875,VIS,459601,20240409
12,-433261.46875,VIS,459601,20240409
1,-2055282.875,CA1,459601,20240409
2,-2016315.75,CA1,459601,20240409
3,-2004943.625,CA1,459601,20240409
4,-1964828.5,CA1,459601,20240409
5,-1947665.375,CA1,459601,20240409
6,-1932066.0,CA1,459601,20240409
7,-1932258.375,CA1,459601,20240409
8,-1919540.875,CA1,459601,20240409
9,-1927649.0,CA1,459601,20240409
10,-1905765.5,CA1,459601,20240409
11,-1853045.375,CA1,459601,20240409
12,-1889816.875,CA1,459601,20240409
1,-488514.0,PERI,459601,20240410
2,-463210.125,PERI,459601,20240410
3,-445690.6875,PERI,459601,20240410
4,-424451.40625,PERI,459601,20240410
5,-419611.84375,PERI,459601,20240410
6,-420751.5625,PERI,459601,20240410
7,-421260.65625,PERI,459601,20240410
8,-415519.875,PERI,459601,20240410
9,-410753.5625,PERI,459601,20240410
10,-416337.875,PERI,459601,20240410
11,-418559.96875,PERI,459601,20240410
12,-424063.78125,PERI,459601,20240410
1,-1531299.875,TEa,459601,20240410
2,-1472911.625,TEa,459601,20240410
3,-1442623.875,TEa,459601,20240410
4,-1405061.5,TEa,459601,20240410
5,-1372712.5,TEa,459601,20240410
6,-1355393.375,TEa,459601,20240410
7,-1336511.5,TEa,459601,20240410
8,-1309991.25,TEa,459601,20240410
9,-1305565.75,TEa,459601,20240410
10,-1305118.0,TEa,459601,20240410
11,-1284164.25,TEa,459601,20240410
12,-1267532.25,TEa,459601,20240410
1,-1965595.375,VIS,459601,20240410
2,-1850255.375,VIS,459601,20240410
3,-1803523.0,VIS,459601,20240410
4,-1750046.0,VIS,459601,20240410
5,-1741564.25,VIS,459601,20240410
6,-1709972.5,VIS,459601,20240410
7,-1690765.125,VIS,459601,20240410
8,-1681446.25,VIS,459601,20240410
9,-1668925.25,VIS,459601,20240410
10,-1658329.5,VIS,459601,20240410
11,-1644765.25,VIS,459601,20240410
12,-1629346.75,VIS,459601,20240410
1,-2362842.0,CA1,459601,20240410
2,-2286410.25,CA1,459601,20240410
3,-2235521.5,CA1,459601,20240410
4,-2183216.25,CA1,459601,20240410
5,-2162342.75,CA1,459601,20240410
6,-2116514.0,CA1,459601,20240410
7,-2105919.5,CA1,459601,20240410
8,-2080858.5,CA1,459601,20240410
9,-2055639.125,CA1,459601,20240410
10,-2029531.0,CA1,459601,20240410
11,-2022293.0,CA1,459601,20240410
12,-2003565.125,CA1,459601,20240410
1,-210683.125,LEC,459601,20240411
2,-196252.515625,LEC,459601,20240411
3,-188119.96875,LEC,459601,20240411
4,-185926.5,LEC,459601,20240411
5,-183610.96875,LEC,459601,20240411
6,-182954.15625,LEC,459601,20240411
7,-172757.6875,LEC,459601,20240411
8,-174647.328125,LEC,459601,20240411
9,-175149.625,LEC,459601,20240411
10,-177567.234375,LEC,459601,20240411
11,-176622.375,LEC,459601,20240411
12,-183360.5625,LEC,459601,20240411
1,-1316585.125,PERI,459601,20240411
2,-1270036.75,PERI,459601,20240411
3,-1242165.375,PERI,459601,20240411
4,-1209883.5,PERI,459601,20240411
5,-1194724.875,PERI,459601,20240411
6,-1177719.5,PERI,459601,20240411
7,-1151696.25,PERI,459601,20240411
8,-1143068.25,PERI,459601,20240411
9,-1126159.75,PERI,459601,20240411
10,-1105131.0,PERI,459601,20240411
11,-1114188.5,PERI,459601,20240411
12,-1096242.625,PERI,459601,20240411
1,-931846.3125,TEa,459601,20240411
2,-867042.5,TEa,459601,20240411
3,-844979.375,TEa,459601,20240411
4,-825226.625,TEa,459601,20240411
5,-826154.8125,TEa,459601,20240411
6,-807292.0,TEa,459601,20240411
7,-787451.4375,TEa,459601,20240411
8,-782507.25,TEa,459601,20240411
9,-780388.875,TEa,459601,20240411
10,-771799.125,TEa,459601,20240411
11,-770205.625,TEa,459601,20240411
12,-768366.75,TEa,459601,20240411
1,-444741.21875,VIS,459601,20240411
2,-415553.4375,VIS,459601,20240411
3,-395862.25,VIS,459601,20240411
4,-385113.5,VIS,459601,20240411
5,-373194.1875,VIS,459601,20240411
6,-360021.34375,VIS,459601,20240411
7,-353175.09375,VIS,459601,20240411
8,-349793.9375,VIS,459601,20240411
9,-346780.9375,VIS,459601,20240411
10,-338672.5,VIS,459601,20240411
11,-335523.59375,VIS,459601,20240411
12,-333419.71875,VIS,459601,20240411
1,-423655.8125,CA1,459601,20240411
2,-389866.875,CA1,459601,20240411
3,-376242.1875,CA1,459601,20240411
4,-357247.1875,CA1,459601,20240411
5,-349160.5625,CA1,459601,20240411
6,-336791.4375,CA1,459601,20240411
7,-333987.03125,CA1,459601,20240411
8,-336135.40625,CA1,459601,20240411
9,-329257.0625,CA1,459601,20240411
10,-331090.375,CA1,459601,20240411
11,-332209.8125,CA1,459601,20240411
12,-331059.0,CA1,459601,20240411
1,-566645.8125,LEC,462910,20240813
2,-548733.5625,LEC,462910,20240813
3,-534160.125,LEC,462910,20240813
4,-524963.875,LEC,462910,20240813
5,-508962.1875,LEC,462910,20240813
6,-509335.4375,LEC,462910,20240813
7,-501054.6875,LEC,462910,20240813
8,-501020.96875,LEC,462910,20240813
9,-492622.75,LEC,462910,20240813
10,-496528.9375,LEC,462910,20240813
11,-498302.25,LEC,462910,20240813
12,-502387.0,LEC,462910,20240813
1,-1339495.5,VIS,462910,20240813
2,-1306992.75,VIS,462910,20240813
3,-1286438.5,VIS,462910,20240813
4,-1268958.75,VIS,462910,20240813
5,-1248964.625,VIS,462910,20240813
6,-1238186.25,VIS,462910,20240813
7,-1220024.0,VIS,462910,20240813
8,-1214824.875,VIS,462910,20240813
9,-1203083.0,VIS,462910,20240813
10,-1197190.625,VIS,462910,20240813
11,-1172429.875,VIS,462910,20240813
12,-1170626.5,VIS,462910,20240813
1,-1696262.0,CA1,462910,20240813
2,-1631442.375,CA1,462910,20240813
3,-1585897.5,CA1,462910,20240813
4,-1563573.25,CA1,462910,20240813
5,-1539216.125,CA1,462910,20240813
6,-1520798.0,CA1,462910,20240813
7,-1473279.0,CA1,462910,20240813
8,-1459563.75,CA1,462910,20240813
9,-1451725.0,CA1,462910,20240813
10,-1416768.75,CA1,462910,20240813
11,-1406665.75,CA1,462910,20240813
12,-1398373.0,CA1,462910,20240813
1,-111684.71875,AUD,462910,20240814
2,-105294.84375,AUD,462910,20240814
3,-112756.25,AUD,462910,20240814
4,-121738.890625,AUD,462910,20240814
5,-139100.890625,AUD,462910,20240814
6,-153530.421875,AUD,462910,20240814
7,-173358.578125,AUD,462910,20240814
8,-189653.5625,AUD,462910,20240814
9,-208147.15625,AUD,462910,20240814
10,-227741.3125,AUD,462910,20240814
11,-247543.21875,AUD,462910,20240814
12,-267534.6875,AUD,462910,20240814
1,-241336.578125,LEC,462910,20240814
2,-228005.34375,LEC,462910,20240814
3,-228002.03125,LEC,462910,20240814
4,-223924.65625,LEC,462910,20240814
5,-232382.046875,LEC,462910,20240814
6,-243969.546875,LEC,462910,20240814
7,-252635.453125,LEC,462910,20240814
8,-268789.28125,LEC,462910,20240814
9,-280778.40625,LEC,462910,20240814
10,-294880.875,LEC,462910,20240814
11,-307962.75,LEC,462910,20240814
12,-322491.875,LEC,462910,20240814
1,-703401.5,PERI,462910,20240814
2,-677457.125,PERI,462910,20240814
3,-651294.4375,PERI,462910,20240814
4,-646135.125,PERI,462910,20240814
5,-633445.875,PERI,462910,20240814
6,-629832.375,PERI,462910,20240814
7,-624838.1875,PERI,462910,20240814
8,-620004.75,PERI,462910,20240814
9,-625246.375,PERI,462910,20240814
10,-622947.9375,PERI,462910,20240814
11,-626644.3125,PERI,462910,20240814
12,-629112.0,PERI,462910,20240814
1,-2456124.25,CA1,462910,20240814
2,-2340437.75,CA1,462910,20240814
3,-2256128.0,CA1,462910,20240814
4,-2186923.5,CA1,462910,20240814
5,-2149245.0,CA1,462910,20240814
6,-2116693.0,CA1,462910,20240814
7,-2065391.0,CA1,462910,20240814
8,-2051874.25,CA1,462910,20240814
9,-2033088.625,CA1,462910,20240814
10,-2012348.75,CA1,462910,20240814
11,-2003438.125,CA1,462910,20240814
12,-1945027.5,CA1,462910,20240814
1,-3925930.0,VIS,462910,20240815
2,-3773626.25,VIS,462910,20240815
3,-3694274.25,VIS,462910,20240815
4,-3648561.0,VIS,462910,20240815
5,-3591959.25,VIS,462910,20240815
6,-3556782.0,VIS,462910,20240815
7,-3516433.25,VIS,462910,20240815
8,-3501901.5,VIS,462910,20240815
9,-3457311.0,VIS,462910,20240815
10,-3444702.0,VIS,462910,20240815
11,-3430304.5,VIS,462910,20240815
12,-3388214.25,VIS,462910,20240815
1,-777665.3125,CA1,462910,20240815
2,-721248.1875,CA1,462910,20240815
3,-697460.1875,CA1,462910,20240815
4,-677597.0,CA1,462910,20240815
5,-667195.8125,CA1,462910,20240815
6,-638812.75,CA1,462910,20240815
7,-634662.6875,CA1,462910,20240815
8,-618482.3125,CA1,462910,20240815
9,-612055.125,CA1,462910,20240815
10,-611474.125,CA1,462910,20240815
11,-617344.1875,CA1,462910,20240815
12,-615505.625,CA1,462910,20240815
1,-1362948.875,AUD,462911,20240809
2,-1311568.0,AUD,462911,20240809
3,-1286730.875,AUD,462911,20240809
4,-1258857.625,AUD,462911,20240809
5,-1219854.125,AUD,462911,20240809
6,-1188506.375,AUD,462911,20240809
7,-1179703.0,AUD,462911,20240809
8,-1168294.375,AUD,462911,20240809
9,-1154416.75,AUD,462911,20240809
10,-1145762.5,AUD,462911,20240809
11,-1133662.5,AUD,462911,20240809
12,-1134678.0,AUD,462911,20240809
1,-1209467.375,PERI,462911,20240809
2,-1181683.75,PERI,462911,20240809
3,-1150820.75,PERI,462911,20240809
4,-1126197.0,PERI,462911,20240809
5,-1112944.25,PERI,462911,20240809
6,-1095044.875,PERI,462911,20240809
7,-1084158.25,PERI,462911,20240809
8,-1065486.875,PERI,462911,20240809
9,-1050113.0,PERI,462911,20240809
10,-1042389.625,PERI,462911,20240809
11,-1032696.1875,PERI,462911,20240809
12,-1022367.6875,PERI,462911,20240809
1,-500314.5625,TEa,462911,20240809
2,-467740.8125,TEa,462911,20240809
3,-450520.90625,TEa,462911,20240809
4,-436048.5625,TEa,462911,20240809
5,-426918.9375,TEa,462911,20240809
6,-415475.3125,TEa,462911,20240809
7,-397218.8125,TEa,462911,20240809
8,-397541.15625,TEa,462911,20240809
9,-384547.75,TEa,462911,20240809
10,-387157.875,TEa,462911,20240809
11,-386173.9375,TEa,462911,20240809
12,-389304.03125,TEa,462911,20240809
1,-610862.9375,VIS,462911,20240809
2,-591525.0625,VIS,462911,20240809
3,-576578.8125,VIS,462911,20240809
4,-557121.625,VIS,462911,20240809
5,-552105.0,VIS,462911,20240809
6,-539367.375,VIS,462911,20240809
7,-527015.25,VIS,462911,20240809
8,-514854.25,VIS,462911,20240809
9,-509372.78125,VIS,462911,20240809
10,-496719.0625,VIS,462911,20240809
11,-503251.34375,VIS,462911,20240809
12,-494638.90625,VIS,462911,20240809
1,-2589855.25,CA1,462911,20240809
2,-2561233.75,CA1,462911,20240809
3,-2470863.5,CA1,462911,20240809
4,-2426998.5,CA1,462911,20240809
5,-2411882.75,CA1,462911,20240809
6,-2379228.25,CA1,462911,20240809
7,-2354989.25,CA1,462911,20240809
8,-2346366.5,CA1,462911,20240809
9,-2305587.0,CA1,462911,20240809
10,-2300703.0,CA1,462911,20240809
11,-2274876.5,CA1,462911,20240809
12,-2262963.0,CA1,462911,20240809
1,-1954269.75,AUD,466394,20241105
2,-1797661.375,AUD,466394,20241105
3,-1740505.375,AUD,466394,20241105
4,-1702344.375,AUD,466394,20241105
5,-1672900.0,AUD,466394,20241105
6,-1656338.0,AUD,466394,20241105
7,-1639125.25,AUD,466394,20241105
8,-1626956.875,AUD,466394,20241105
9,-1622174.75,AUD,466394,20241105
10,-1601876.0,AUD,466394,20241105
11,-1594341.25,AUD,466394,20241105
12,-1574463.5,AUD,466394,20241105
1,-291225.9375,PERI,466394,20241105
2,-268334.625,PERI,466394,20241105
3,-261602.96875,PERI,466394,20241105
4,-253046.046875,PERI,466394,20241105
5,-250081.921875,PERI,466394,20241105
6,-248053.640625,PERI,466394,20241105
7,-250714.125,PERI,466394,20241105
8,-257106.171875,PERI,466394,20241105
9,-262851.59375,PERI,466394,20241105
10,-268284.1875,PERI,466394,20241105
11,-272268.5625,PERI,466394,20241105
12,-277783.375,PERI,466394,20241105
1,-464209.65625,TEa,466394,20241105
2,-439860.625,TEa,466394,20241105
3,-432262.96875,TEa,466394,20241105
4,-426427.4375,TEa,466394,20241105
5,-416017.21875,TEa,466394,20241105
6,-419674.9375,TEa,466394,20241105
7,-413745.75,TEa,466394,20241105
8,-419788.625,TEa,466394,20241105
9,-420907.9375,TEa,466394,20241105
10,-420564.125,TEa,466394,20241105
11,-429267.3125,TEa,466394,20241105
12,-424123.6875,TEa,466394,20241105
1,-2096724.625,AUD,466394,20241107
2,-2053356.0,AUD,466394,20241107
3,-2000493.625,AUD,466394,20241107
4,-1964035.0,AUD,466394,20241107
5,-1940335.5,AUD,466394,20241107
6,-1920050.375,AUD,466394,20241107
7,-1907386.625,AUD,466394,20241107
8,-1886058.125,AUD,466394,20241107
9,-1885532.25,AUD,466394,20241107
10,-1874783.75,AUD,466394,20241107
11,-1859033.75,AUD,466394,20241107
12,-1834883.0,AUD,466394,20241107
1,-170262.3125,LEC,466394,20241107
2,-150437.40625,LEC,466394,20241107
3,-144665.84375,LEC,466394,20241107
4,-143819.5625,LEC,466394,20241107
5,-148461.25,LEC,466394,20241107
6,-151899.828125,LEC,466394,20241107
7,-160179.75,LEC,466394,20241107
8,-179837.34375,LEC,466394,20241107
9,-184791.09375,LEC,466394,20241107
10,-196293.75,LEC,466394,20241107
11,-212567.15625,LEC,466394,20241107
12,-222776.328125,LEC,466394,20241107
1,-1631492.0,PERI,466394,20241107
2,-1568722.125,PERI,466394,20241107
3,-1511436.75,PERI,466394,20241107
4,-1483999.25,PERI,466394,20241107
5,-1463177.0,PERI,466394,20241107
6,-1439873.0,PERI,466394,20241107
7,-1416589.875,PERI,466394,20241107
8,-1414835.5,PERI,466394,20241107
9,-1402025.25,PERI,466394,20241107
10,-1385224.25,PERI,466394,20241107
11,-1373166.0,PERI,466394,20241107
12,-1358044.0,PERI,466394,20241107
1,-858223.875,TEa,466394,20241107
2,-818887.0,TEa,466394,20241107
3,-804502.5,TEa,466394,20241107
4,-780194.9375,TEa,466394,20241107
5,-770681.5625,TEa,466394,20241107
6,-766702.375,TEa,466394,20241107
7,-754488.875,TEa,466394,20241107
8,-742809.0,TEa,466394,20241107
9,-739194.5,TEa,466394,20241107
10,-738944.375,TEa,466394,20241107
11,-730004.75,TEa,466394,20241107
12,-737578.5,TEa,466394,20241107
1,-1673809.125,AUD,466394,20241108
2,-1638072.5,AUD,466394,20241108
3,-1585607.0,AUD,466394,20241108
4,-1571100.25,AUD,466394,20241108
5,-1537165.0,AUD,466394,20241108
6,-1537808.75,AUD,466394,20241108
7,-1516782.0,AUD,466394,20241108
8,-1507251.375,AUD,466394,20241108
9,-1489445.125,AUD,466394,20241108
10,-1482350.25,AUD,466394,20241108
11,-1474159.5,AUD,466394,20241108
12,-1474281.25,AUD,466394,20241108
1,-71766.453125,LEC,466394,20241108
2,-66559.1015625,LEC,466394,20241108
3,-67308.46875,LEC,466394,20241108
4,-70037.7421875,LEC,466394,20241108
5,-77030.8046875,LEC,466394,20241108
6,-86053.5234375,LEC,466394,20241108
7,-94411.65625,LEC,466394,20241108
8,-104831.703125,LEC,466394,20241108
9,-115401.046875,LEC,466394,20241108
10,-124193.0,LEC,466394,20241108
11,-134927.15625,LEC,466394,20241108
12,-145671.28125,LEC,466394,20241108
1,-1167405.0,PERI,466394,20241108
2,-1105272.75,PERI,466394,20241108
3,-1075988.75,PERI,466394,20241108
4,-1051926.25,PERI,466394,20241108
5,-1043081.125,PERI,466394,20241108
6,-1014470.875,PERI,466394,20241108
7,-999682.875,PERI,466394,20241108
8,-984787.375,PERI,466394,20241108
9,-974538.125,PERI,466394,20241108
10,-965750.75,PERI,466394,20241108
11,-958682.0625,PERI,466394,20241108
12,-944384.125,PERI,466394,20241108
1,-481395.6875,TEa,466394,20241108
2,-462796.15625,TEa,466394,20241108
3,-450035.15625,TEa,466394,20241108
4,-439267.34375,TEa,466394,20241108
5,-432224.125,TEa,466394,20241108
6,-431721.0625,TEa,466394,20241108
7,-423836.09375,TEa,466394,20241108
8,-413883.4375,TEa,466394,20241108
9,-412026.3125,TEa,466394,20241108
10,-407695.1875,TEa,466394,20241108
11,-405660.5625,TEa,466394,20241108
12,-407384.75,TEa,466394,20241108
1,-79915.3828125,VIS,466394,20241108
2,-70397.453125,VIS,466394,20241108
3,-75420.28125,VIS,466394,20241108
4,-78150.7109375,VIS,466394,20241108
5,-83062.3125,VIS,466394,20241108
6,-91203.0390625,VIS,466394,20241108
7,-97338.53125,VIS,466394,20241108
8,-104093.359375,VIS,466394,20241108
9,-111457.3203125,VIS,466394,20241108
10,-119063.078125,VIS,466394,20241108
11,-128787.140625,VIS,466394,20241108
12,-134085.828125,VIS,466394,20241108
1,-1052960.75,CA1,466394,20241108
2,-1010522.625,CA1,466394,20241108
3,-977626.125,CA1,466394,20241108
4,-967969.6875,CA1,466394,20241108
5,-930746.875,CA1,466394,20241108
6,-925697.625,CA1,466394,20241108
7,-904993.125,CA1,466394,20241108
8,-884032.9375,CA1,466394,20241108
9,-884896.4375,CA1,466394,20241108
10,-875482.0,CA1,466394,20241108
11,-863678.1875,CA1,466394,20241108
12,-841987.4375,CA1,466394,20241108
1,-1419072.5,PERI,466395,20241113
2,-1380745.25,PERI,466395,20241113
3,-1346745.5,PERI,466395,20241113
4,-1326996.625,PERI,466395,20241113
5,-1303041.5,PERI,466395,20241113
6,-1294876.875,PERI,466395,20241113
7,-1270725.0,PERI,466395,20241113
8,-1262001.875,PERI,466395,20241113
9,-1246496.625,PERI,466395,20241113
10,-1233662.0,PERI,466395,20241113
11,-1223222.0,PERI,466395,20241113
12,-1222423.75,PERI,466395,20241113
1,-4396055.0,TEa,466395,20241113
2,-4315705.0,TEa,466395,20241113
3,-4257251.0,TEa,466395,20241113
4,-4210697.0,TEa,466395,20241113
5,-4185885.0,TEa,466395,20241113
6,-4153111.5,TEa,466395,20241113
7,-4143839.0,TEa,466395,20241113
8,-4119125.0,TEa,466395,20241113
9,-4104485.0,TEa,466395,20241113
10,-4088735.25,TEa,466395,20241113
11,-4092885.25,TEa,466395,20241113
12,-4064765.25,TEa,466395,20241113
1,-124916.5625,VIS,466395,20241113
2,-106256.296875,VIS,466395,20241113
3,-106715.2109375,VIS,466395,20241113
4,-111479.203125,VIS,466395,20241113
5,-120694.4609375,VIS,466395,20241113
6,-131318.375,VIS,466395,20241113
7,-140940.640625,VIS,466395,20241113
8,-152842.25,VIS,466395,20241113
9,-166881.21875,VIS,466395,20241113
10,-177416.78125,VIS,466395,20241113
11,-190832.375,VIS,466395,20241113
12,-204772.625,VIS,466395,20241113
1,-1926299.375,CA1,466395,20241113
2,-1780057.0,CA1,466395,20241113
3,-1689778.5,CA1,466395,20241113
4,-1599776.25,CA1,466395,20241113
5,-1574168.375,CA1,466395,20241113
6,-1554115.875,CA1,466395,20241113
7,-1523685.25,CA1,466395,20241113
8,-1505513.0,CA1,466395,20241113
9,-1502070.25,CA1,466395,20241113
10,-1471637.75,CA1,466395,20241113
11,-1467657.0,CA1,466395,20241113
12,-1437873.75,CA1,466395,20241113
1,-1365646.75,AUD,466395,20241114
2,-1333240.5,AUD,466395,20241114
3,-1294330.5,AUD,466395,20241114
4,-1271429.625,AUD,466395,20241114
5,-1263175.375,AUD,466395,20241114
6,-1248884.375,AUD,466395,20241114
7,-1235986.5,AUD,466395,20241114
8,-1228538.125,AUD,466395,20241114
9,-1218138.0,AUD,466395,20241114
10,-1211429.25,AUD,466395,20241114
11,-1210466.25,AUD,466395,20241114
12,-1203733.5,AUD,466395,20241114
1,-1935659.75,PERI,466395,20241114
2,-1889492.5,PERI,466395,20241114
3,-1847881.875,PERI,466395,20241114
4,-1821075.75,PERI,466395,20241114
5,-1804873.25,PERI,466395,20241114
6,-1783481.5,PERI,466395,20241114
7,-1759357.125,PERI,466395,20241114
8,-1761743.375,PERI,466395,20241114
9,-1730199.25,PERI,466395,20241114
10,-1723254.75,PERI,466395,20241114
11,-1704684.75,PERI,466395,20241114
12,-1687744.625,PERI,466395,20241114
1,-475756.5625,TEa,466395,20241114
2,-461192.8125,TEa,466395,20241114
3,-443824.6875,TEa,466395,20241114
4,-436609.09375,TEa,466395,20241114
5,-427804.125,TEa,466395,20241114
6,-416331.5625,TEa,466395,20241114
7,-422312.0,TEa,466395,20241114
8,-418633.1875,TEa,466395,20241114
9,-417304.0625,TEa,466395,20241114
10,-416835.40625,TEa,466395,20241114
11,-417978.5625,TEa,466395,20241114
12,-418300.125,TEa,466395,20241114
1,-83880.796875,VIS,466395,20241114
2,-80825.578125,VIS,466395,20241114
3,-86171.6171875,VIS,466395,20241114
4,-93878.796875,VIS,466395,20241114
5,-102885.640625,VIS,466395,20241114
6,-113056.2109375,VIS,466395,20241114
7,-123489.140625,VIS,466395,20241114
8,-134685.734375,VIS,466395,20241114
9,-146325.71875,VIS,466395,20241114
10,-156008.53125,VIS,466395,20241114
11,-169796.5,VIS,466395,20241114
12,-179560.15625,VIS,466395,20241114
1,-1103185.75,CA1,466395,20241114
2,-1058565.375,CA1,466395,20241114
3,-1021909.875,CA1,466395,20241114
4,-1005714.875,CA1,466395,20241114
5,-978765.0,CA1,466395,20241114
6,-952493.5,CA1,466395,20241114
7,-933590.9375,CA1,466395,20241114
8,-923127.625,CA1,466395,20241114
9,-910203.625,CA1,466395,20241114
10,-915106.6875,CA1,466395,20241114
11,-894982.625,CA1,466395,20241114
12,-871310.5,CA1,466395,20241114
1,-2154743.5,AUD,466395,20241115
2,-2113111.5,AUD,466395,20241115
3,-2080973.25,AUD,466395,20241115
4,-2048214.5,AUD,466395,20241115
5,-2015121.625,AUD,466395,20241115
6,-2005731.0,AUD,466395,20241115
7,-1990572.25,AUD,466395,20241115
8,-1978980.5,AUD,466395,20241115
9,-1961869.75,AUD,466395,20241115
10,-1934897.125,AUD,466395,20241115
11,-1912161.75,AUD,466395,20241115
12,-1921073.375,AUD,466395,20241115
1,-81289.9375,TEa,466395,20241115
2,-77950.5,TEa,466395,20241115
3,-80722.125,TEa,466395,20241115
4,-84407.6484375,TEa,466395,20241115
5,-96563.640625,TEa,466395,20241115
6,-106541.84375,TEa,466395,20241115
7,-118404.015625,TEa,466395,20241115
8,-133253.125,TEa,466395,20241115
9,-146224.203125,TEa,466395,20241115
10,-160433.90625,TEa,466395,20241115
11,-174169.421875,TEa,466395,20241115
12,-187656.140625,TEa,466395,20241115
1,-1785043.25,CA1,466395,20241115
2,-1729673.5,CA1,466395,20241115
3,-1666349.25,CA1,466395,20241115
4,-1627613.0,CA1,466395,20241115
5,-1601267.25,CA1,466395,20241115
6,-1589071.75,CA1,466395,20241115
7,-1561458.25,CA1,466395,20241115
8,-1532935.0,CA1,466395,20241115
9,-1530870.5,CA1,466395,20241115
10,-1525068.25,CA1,466395,20241115
11,-1499903.625,CA1,466395,20241115
12,-1495808.5,CA1,466395,20241115
1,-1275377.25,AUD,466396,20241031
2,-1229527.625,AUD,466396,20241031
3,-1187844.5,AUD,466396,20241031
4,-1165609.25,AUD,466396,20241031
5,-1148535.125,AUD,466396,20241031
6,-1126113.375,AUD,466396,20241031
7,-1119778.5,AUD,466396,20241031
8,-1103677.75,AUD,466396,20241031
9,-1102903.25,AUD,466396,20241031
10,-1092300.375,AUD,466396,20241031
11,-1095449.875,AUD,466396,20241031
12,-1065081.875,AUD,466396,20241031
1,-508861.78125,LEC,466396,20241031
2,-479839.84375,LEC,466396,20241031
3,-467715.71875,LEC,466396,20241031
4,-461532.0625,LEC,466396,20241031
5,-450157.28125,LEC,466396,20241031
6,-445134.84375,LEC,466396,20241031
7,-434627.4375,LEC,466396,20241031
8,-430009.5,LEC,466396,20241031
9,-429452.875,LEC,466396,20241031
10,-435933.46875,LEC,466396,20241031
11,-431572.59375,LEC,466396,20241031
12,-422853.4375,LEC,466396,20241031
1,-667344.3125,PERI,466396,20241031
2,-647930.5,PERI,466396,20241031
3,-626789.25,PERI,466396,20241031
4,-614609.5,PERI,466396,20241031
5,-604384.875,PERI,466396,20241031
