SubjectID;DateFinalTask;Sound1Obj;Sound2Obj;ControlObject;Far
450408;20230918;1;2;3;999
450409;20250101;1;2;3;999
452505;20231205;1;2;3;999
452506;20231205;1;2;3;999
459601;20240313;1;2;3;1
459602;20240227;1;2;3;999
459603;20250101;1;2;3;999
462910;20240701;1;2;3;1
462911;20240701;1;2;3;1
466394;20240807;2;3;1;0
466395;20240807;2;3;1;0
466396;20240807;2;3;1;0
472975;20250115;1;3;2;0
472976;20250109;1;3;2;999
472977;20260101;1;3;2;999
478153;20250528;3;2;1;999
478154;20250528;3;2;1;1
